Feature;Status;MedianImportance
diffAUC2_4;Confirmed;9.03916637454976
diffAUC1_4;Confirmed;7.42935808142467
BNBn4;Confirmed;6.62826941343628
diffAUC3_4;Confirmed;6.55939540050001
RRn4;Confirmed;6.49225642098933
SSn4;Confirmed;6.38843890347635
BNB4;Confirmed;6.31546348505603
BBn4;Confirmed;6.28855795987153
CCn4;Confirmed;6.27321677018799
BNBn2;Confirmed;5.84538706740806
A1;Confirmed;5.82751500493777
BB4;Confirmed;5.72094669058827
BNBn1;Confirmed;5.56812188469549
CC4;Confirmed;5.49464221190281
FA4;Confirmed;5.45881485517963
A2;Confirmed;5.42476453301437
BNBn3;Confirmed;5.39356497423638
RR4;Confirmed;5.35967669056828
SS4;Confirmed;5.35211935716877
BNB1;Confirmed;5.26699359205324
CCn1;Confirmed;5.25235900437105
M4;Confirmed;5.19562616061765
H1;Confirmed;5.19163945581409
BBn1;Confirmed;5.17970335946656
FA1;Confirmed;5.16758440437796
SSn1;Confirmed;5.10226034393277
O1;Confirmed;4.88329835816466
RRn1;Confirmed;4.8817453755773
LN4;Confirmed;4.84024580049065
LN3;Confirmed;4.76943443187761
BN4;Confirmed;4.74950831826541
RRn3;Confirmed;4.71763906112616
CC1;Confirmed;4.67635717357237
D2;Confirmed;4.65403800426209
LN1;Confirmed;4.63225016920527
H3;Confirmed;4.54111766486635
O4;Confirmed;4.52888328831786
O3;Confirmed;4.51489268605823
FA3;Confirmed;4.48659301340352
E4;Confirmed;4.48626408802586
Sm4;Confirmed;4.46191209242578
A3;Confirmed;4.44209966454155
SSn3;Confirmed;4.3544261332459
Sm3;Confirmed;4.33006507877313
BNB3;Confirmed;4.31311718375261
H2;Confirmed;4.29116723269633
Q4;Confirmed;4.21842659709599
C4;Confirmed;4.21631450178134
BBn3;Confirmed;4.20791484750494
L4;Confirmed;4.19467459772365
A4;Confirmed;4.18539189819081
H4;Confirmed;4.17655692987233
CCn3;Confirmed;4.16467852615506
Rm3;Confirmed;4.14798060571365
N2;Confirmed;4.0810121520235
RR3;Confirmed;4.01795886198952
Rm4;Confirmed;3.99867754925377
BBn2;Confirmed;3.99515045181237
BB1;Confirmed;3.97834280647766
SSn2;Confirmed;3.97242794288309
BNB2;Confirmed;3.96606482278956
CCn2;Confirmed;3.95822894829088
B4;Confirmed;3.95327295686461
CC3;Confirmed;3.92584465218486
SS3;Confirmed;3.90682597132646
RRn2;Confirmed;3.89081692012686
LN2;Confirmed;3.85161306620133
E3;Confirmed;3.84539853754092
BB3;Confirmed;3.84319878637141
G4;Confirmed;3.77139991436471
F3;Confirmed;3.68417500242616
M3;Confirmed;3.65590134707385
O2;Confirmed;3.62887427438306
Q3;Confirmed;3.58230319622584
L3;Confirmed;3.55083090899094
F4;Confirmed;3.35671714416526
I3;Confirmed;3.31283998111185
RR1;Confirmed;3.27934035691975
SS1;Confirmed;3.21874478005305
RH_med;Confirmed;3.21129808983031
CC2;Confirmed;3.12847321886837
R4;Confirmed;3.12740947585774
G2;Confirmed;3.09159096419331
FA2;Confirmed;3.00138921510119
P1;Confirmed;2.9813643171217
S4;Rejected;2.94103344724501
P4;Rejected;2.77005149241194
I4;Rejected;2.57913188190547
BB2;Rejected;2.52817649068941
P2;Rejected;2.5024766629632
I2;Rejected;2.40763458033645
C2;Rejected;2.40035557625786
RR2;Rejected;2.33906214728161
Q2;Rejected;2.33641830968048
SS2;Rejected;2.20971489045796
Sm2;Rejected;2.13905199720652
R2;Rejected;2.09120941023118
E1;Rejected;1.98703014006619
Rm2;Rejected;1.91583577315816
S2;Rejected;1.8468179248016
M2;Rejected;1.81961852953707
L1;Rejected;1.75333166078084
S1;Rejected;1.65797284257385
Rm1;Rejected;1.61514553189038
E2;Rejected;1.57327092113481
L2;Rejected;1.51889988644203
F1;Rejected;1.4722619349603
G1;Rejected;1.36224660789328
G3;Rejected;1.35623437476163
Sm1;Rejected;1.31694189967743
P3;Rejected;1.31447040478822
N1;Rejected;1.30888777974899
C1;Rejected;1.30209978859318
M1;Rejected;1.13141183439376
F2;Rejected;1.11270740802807
B2;Rejected;1.05957998970039
R1;Rejected;0.922278737928644
BN2;Rejected;0.906014683742019
BN3;Rejected;0.898820263318972
I1;Rejected;0.767977777668109
D1;Rejected;0.71463902419062
BN1;Rejected;0.697222437856207
Q1;Rejected;0.621496288496999
B1;Rejected;0.54512770310461
R3;Rejected;0.0927060140621534
C3;Rejected;0.00453421984675049
S3;Rejected;-0.0748018596602535
B3;Rejected;-0.267282949868228
